"id","comitted_production_per_hour","hired_for_this","remarks","employee_id","skills_id","process_id","efficiency","smv"
"9701","180","yes",NULL,"17252","16","58","90","0.3"
"9702","180","yes",NULL,"17252","16","645","90","0.3"
"9703","150","yes",NULL,"17252","16","57","87","0.35"
"9704","80","yes",NULL,"17252","252","646","80","0.6"
"9705","Machine Maintenance, Preventive Maintenance Planning, Team Supervision, Machine Installation & Calibration (e.g., sewing machines, fusing, boilers). S","yes",NULL,"17202",NULL,NULL,"80","0"
"9706","CUFF MATCH","yes",NULL,"11785",NULL,NULL,"133","0.45"
"9707","COLLER MARK","yes",NULL,"11785",NULL,NULL,"120","0.5"
"9708","PLT MARK","yes",NULL,"11785",NULL,NULL,"100","0.6"
"9709","BON SCISSORISING","yes",NULL,"11783",NULL,NULL,"133","0.45"
"9710","BON MARK","yes",NULL,"11783",NULL,NULL,"133","0.45"
"9711","COLLER MATCH","yes",NULL,"11783",NULL,NULL,"133","0.45"
"9712","COLLER MATCH","yes",NULL,"11875",NULL,NULL,"133","0.45"
"9713","CUFF MATCH","yes",NULL,"11875",NULL,NULL,"133","0.45"
"9714","BODY TURNOVER","yes",NULL,"11875",NULL,NULL,"133","0.45"
"9715","CUFF MATCH","yes",NULL,"11784",NULL,NULL,"133","0.45"
